time,SWD,TSLWU
2025-02-03 14:19:59.995422363,221.95688,5.0145264
2025-02-03 14:30:00.000000000,191.816,4.5796814
2025-02-03 14:40:00.004577636,162.83719,4.125519
2025-02-03 14:49:59.995422363,136.9615,3.4633484
2025-02-03 15:00:00.000000000,127.32045,2.926239
2025-02-03 15:10:00.004577636,119.45691,2.5942688
2025-02-03 15:19:59.995422363,98.543884,1.8283691
2025-02-03 15:30:00.000000000,77.820435,0.9773865
2025-02-03 15:40:00.004577636,60.882607,0.4970398
2025-02-03 15:49:59.995422363,43.120674,0.2836609
2025-02-03 16:00:00.000000000,28.585453,0.1317749
2025-02-03 16:09:59.990844726,16.773094,-0.98132324
2025-02-03 16:20:00.009155273,7.895304,-1.2784729
2025-02-03 16:30:00.000000000,3.1633952,-1.6968079
2025-02-03 16:39:59.990844726,0.7727097,-2.3268127
2025-02-03 16:50:00.009155273,0.0,-2.8171082
2025-02-03 17:00:00.000000000,0.0,-2.7591248
2025-02-03 17:09:59.990844726,0.0,-2.5512085
2025-02-03 17:20:00.009155273,0.0,-3.2362366
2025-02-03 17:30:00.000000000,0.0,-3.3711853
2025-02-03 17:39:59.990844726,0.0,-3.6421814
2025-02-03 17:50:00.009155273,0.0,-4.063446
2025-02-03 18:00:00.000000000,0.0,-4.242035
2025-02-03 18:09:59.990844726,0.0,-4.4140015
2025-02-03 18:20:00.009155273,0.0,-4.519623
2025-02-03 18:30:00.000000000,0.0,-4.5940247
2025-02-03 18:39:59.990844726,0.0,-4.6973877
2025-02-03 18:50:00.009155273,0.0,-4.8520203
2025-02-03 19:00:00.000000000,0.0,-4.9079285
2025-02-03 19:09:59.990844726,0.0,-5.0999756
2025-02-03 19:20:00.009155273,0.0,-5.1991577
2025-02-03 19:30:00.000000000,0.0,-5.0498047
2025-02-03 19:39:59.990844726,0.0,-3.7875977
2025-02-03 19:50:00.009155273,0.0,-2.4987488
2025-02-03 20:00:00.000000000,0.0,-0.96191406
2025-02-03 20:09:59.990844726,0.0,-0.4701233
